disp,rr,reclaim,trades,win_rate,expectancy,rejections
1.3,2.5,0.05,19,0.42105263157894735,0.17067380639098187,567
0.9,2.5,0.02,19,0.42105263157894735,0.17067380639098187,567
0.9,2.5,0.05,19,0.42105263157894735,0.17067380639098187,567
0.9,2.5,0.03,19,0.42105263157894735,0.17067380639098187,567
1.3,2.5,0.02,19,0.42105263157894735,0.17067380639098187,567
1.1,2.5,0.02,19,0.42105263157894735,0.17067380639098187,567
1.1,2.5,0.05,19,0.42105263157894735,0.17067380639098187,567
1.1,2.5,0.03,19,0.42105263157894735,0.17067380639098187,567
1.3,2.5,0.03,19,0.42105263157894735,0.17067380639098187,567
1.3,1.5,0.03,17,0.47058823529411764,0.14409899159663972,561
1.1,1.5,0.05,17,0.47058823529411764,0.14409899159663972,561
0.9,1.5,0.03,17,0.47058823529411764,0.14409899159663972,561
1.3,1.5,0.05,17,0.47058823529411764,0.14409899159663972,561
1.3,1.5,0.02,17,0.47058823529411764,0.14409899159663972,561
0.9,1.5,0.02,17,0.47058823529411764,0.14409899159663972,561
1.1,1.5,0.03,17,0.47058823529411764,0.14409899159663972,561
1.1,1.5,0.02,17,0.47058823529411764,0.14409899159663972,561
0.9,1.5,0.05,17,0.47058823529411764,0.14409899159663972,561
1.1,2.0,0.05,19,0.42105263157894735,0.1228516917293309,578
1.1,2.0,0.02,19,0.42105263157894735,0.1228516917293309,578
1.3,2.0,0.03,19,0.42105263157894735,0.1228516917293309,578
1.3,2.0,0.02,19,0.42105263157894735,0.1228516917293309,578
1.3,2.0,0.05,19,0.42105263157894735,0.1228516917293309,578
0.9,2.0,0.02,19,0.42105263157894735,0.1228516917293309,578
1.1,2.0,0.03,19,0.42105263157894735,0.1228516917293309,578
0.9,2.0,0.03,19,0.42105263157894735,0.1228516917293309,578
0.9,2.0,0.05,19,0.42105263157894735,0.1228516917293309,578
0.7,2.5,0.03,19,0.3684210526315789,0.08516586466164786,569
0.7,2.5,0.02,19,0.3684210526315789,0.08516586466164786,569
0.7,2.5,0.05,19,0.3684210526315789,0.08516586466164786,569
0.7,2.0,0.03,19,0.3684210526315789,0.041834868421050796,579
0.7,2.0,0.02,19,0.3684210526315789,0.041834868421050796,579
0.7,2.0,0.05,19,0.3684210526315789,0.041834868421050796,579
0.7,1.5,0.05,20,0.35,-0.02442005357142989,590
0.7,1.5,0.02,20,0.35,-0.02442005357142989,590
0.7,1.5,0.03,20,0.35,-0.02442005357142989,590
